name,type,start_time,duration,"data","error"
"mainboardGrey","data",0.3618565,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.36243375,0.00395825,0x22,
"mainboardGrey","data",0.3629075,0.0009895,0x00,
"mainboardGrey","data",0.363958,0.0009895,0x00,
"mainboardGrey","data",0.36500875,0.0009895,0x00,
"mainboardGrey","data",0.36605925,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.36660125,0.00395825,0xAC,
"mainboardGrey","data",0.36710975,0.0009895,0x00,
"mainboardGrey","data",0.36816075,0.0009895,0x80,
"mainboardGrey","data",0.369211,0.0009895,0x00,
"mainboardGrey","data",0.3702615,0.0009895,0xFF,
"bidirectionalExtensionBoard","data",0.37076875,0.00395825,0x00,
"mainboardGrey","data",0.371312,0.0009895,0xFF,
"mainboardGrey","data",0.37236275,0.0009895,0x00,
"mainboardGrey","data",0.37341325,0.0009895,0x00,
"mainboardGrey","data",0.37446425,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.37493625,0.00395825,0x00,
"mainboardGrey","data",0.37551475,0.0009895,0x00,
"mainboardGrey","data",0.37656525,0.0009895,0x00,
"mainboardGrey","data",0.37761575,0.0009895,0x00,
"mainboardGrey","data",0.37866625,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.379104,0.00395825,0x00,
"mainboardGrey","data",0.37971675,0.0009895,0x00,
"mainboardGrey","data",0.38076775,0.0009895,0x00,
"mainboardGrey","data",0.38181875,0.0009895,0x00,
"mainboardGrey","data",0.38286925,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.3832715,0.00395825,0x00,
"mainboardGrey","data",0.38392025,0.0009895,0x00,
"mainboardGrey","data",0.38497075,0.0009895,0x00,
"mainboardGrey","data",0.38602125,0.0009895,0x00,
"mainboardGrey","data",0.38707175,0.0009895,0xBB,
"bidirectionalExtensionBoard","data",0.387439,0.00395825,0x00,
"mainboardGrey","data",0.388122,0.0009895,0x8E,
"bidirectionalExtensionBoard","data",0.39160675,0.00395825,0x03,
"bidirectionalExtensionBoard","data",0.3957745,0.00395825,0x03,
"bidirectionalExtensionBoard","data",0.399942,0.00395825,0x41,
"bidirectionalExtensionBoard","data",0.4041095,0.00395825,0x81,
